Старт: читателей=5, писателей=3, out=out3.log
READER #0 | PID=19998 : idx=6 value=176 fib=987
READER #1 | PID=19999 : idx=13 value=751 fib=89
READER #2 | PID=20000 : idx=0 value=16 fib=987
READER #3 | PID=20001 : idx=7 value=213 fib=233
READER #4 | PID=20002 : idx=14 value=858 fib=2584
WRITER #0 | PID=20003 : idx=1 old=21 new=491
WRITER #1 | PID=20004 : idx=8 old=401 new=740
WRITER #2 | PID=20005 : idx=15 old=869 new=989
READER #0 | PID=19998 : idx=12 value=740 fib=0
READER #1 | PID=19999 : idx=1 value=74 fib=377
READER #2 | PID=20000 : idx=10 value=577 fib=1597
READER #3 | PID=20001 : idx=19 value=996 fib=987
READER #4 | PID=20002 : idx=1 value=74 fib=377
READER #0 | PID=19998 : idx=4 value=153 fib=233
READER #4 | PID=20002 : idx=15 value=871 fib=89
READER #3 | PID=20001 : idx=9 value=575 fib=610
READER #1 | PID=19999 : idx=10 value=577 fib=1597
READER #2 | PID=20000 : idx=16 value=894 fib=377
WRITER #0 | PID=20003 : idx=1 old=74 new=397
WRITER #1 | PID=20004 : idx=7 old=397 new=55
WRITER #2 | PID=20005 : idx=0 old=16 new=66
READER #4 | PID=20002 : idx=5 value=176 fib=987
READER #0 | PID=19998 : idx=0 value=55 fib=610
READER #2 | PID=20000 : idx=9 value=575 fib=610
READER #3 | PID=20001 : idx=7 value=286 fib=8
READER #1 | PID=19999 : idx=18 value=989 fib=34
READER #4 | PID=20002 : idx=8 value=491 fib=89
READER #0 | PID=19998 : idx=2 value=101 fib=1
READER #2 | PID=20000 : idx=15 value=871 fib=89
READER #3 | PID=20001 : idx=5 value=176 fib=987
WRITER #2 | PID=20005 : idx=4 old=153 new=501
WRITER #0 | PID=20003 : idx=18 old=989 new=604
WRITER #1 | PID=20004 : idx=1 old=66 new=229
READER #1 | PID=19999 : idx=12 value=740 fib=0
READER #4 | PID=20002 : idx=11 value=604 fib=3
READER #0 | PID=19998 : idx=10 value=577 fib=1597
READER #3 | PID=20001 : idx=19 value=996 fib=987
READER #2 | PID=20000 : idx=7 value=491 fib=89
READER #1 | PID=19999 : idx=2 value=123 fib=2
WRITER #2 | PID=20005 : idx=13 old=740 new=131
WRITER #1 | PID=20004 : idx=9 old=501 new=253
WRITER #0 | PID=20003 : idx=5 old=213 new=22
READER #4 | PID=20002 : idx=8 value=286 fib=8
READER #0 | PID=19998 : idx=12 value=604 fib=3
READER #3 | PID=20001 : idx=4 value=131 fib=89
READER #2 | PID=20000 : idx=0 value=22 fib=1
READER #1 | PID=19999 : idx=16 value=871 fib=89
READER #4 | PID=20002 : idx=10 value=575 fib=610
READER #2 | PID=20000 : idx=1 value=55 fib=610
READER #0 | PID=19998 : idx=19 value=996 fib=987
READER #3 | PID=20001 : idx=19 value=996 fib=987
READER #1 | PID=19999 : idx=10 value=575 fib=610
WRITER #2 | PID=20005 : idx=12 old=604 new=940
WRITER #1 | PID=20004 : idx=16 old=894 new=878
READER #4 | PID=20002 : idx=17 value=895 fib=610
WRITER #0 | PID=20003 : idx=0 old=22 new=816
READER #2 | PID=20000 : idx=5 value=229 fib=34
READER #1 | PID=19999 : idx=2 value=123 fib=2
READER #0 | PID=19998 : idx=6 value=253 fib=233
READER #3 | PID=20001 : idx=1 value=101 fib=1
READER #4 | PID=20002 : idx=13 value=816 fib=987
READER #2 | PID=20000 : idx=9 value=575 fib=610
READER #0 | PID=19998 : idx=5 value=229 fib=34
READER #1 | PID=19999 : idx=7 value=286 fib=8
READER #3 | PID=20001 : idx=11 value=740 fib=0
